Gene,Description
Hps5,Hermansky-Pudlak syndrome 5 protein homolog OS=Mus musculus OX=10090 GN=Hps5 PE=1 SV=2
Hpse,Heparanase OS=Mus musculus GN=Hpse PE=1 SV=2
Hpx,Hemopexin OS=Mus musculus OX=10090 GN=Hpx PE=1 SV=2
Hras,GTPase HRas OS=Mus musculus GN=Hras PE=1 SV=2
Hras1,GTPase HRas OS=Mus musculus GN=Hras1 PE=1 SV=1
Hrg,Histidine-rich glycoprotein OS=Mus musculus GN=Hrg PE=1 SV=2
Hrh1,Histamine H1 receptor OS=Mus musculus OX=10090 GN=Hrh1 PE=1 SV=2
Hrh3,Histamine H3 receptor OS=Mus musculus OX=10090 GN=Hrh3 PE=1 SV=1
Hrsp12,Ribonuclease UK114 OS=Mus musculus GN=Hrsp12 PE=1 SV=3
Hs1bp3,HCLS1-binding protein 3 OS=Mus musculus OX=10090 GN=Hs1bp3 PE=1 SV=2
Hs2st1,Heparan sulfate 2-O-sulfotransferase 1 OS=Mus musculus GN=Hs2st1 PE=1 SV=2
Hs3st1,Heparan sulfate glucosamine 3-O-sulfotransferase 1 OS=Mus musculus OX=10090 GN=Hs3st1 PE=1 SV=1
Hs6st1,Heparan-sulfate 6-O-sulfotransferase 1 OS=Mus musculus OX=10090 GN=Hs6st1 PE=1 SV=4
Hs6st2,Heparan-sulfate 6-O-sulfotransferase 2 OS=Mus musculus OX=10090 GN=Hs6st2 PE=2 SV=3
Hs6st3,Heparan-sulfate 6-O-sulfotransferase 3 OS=Mus musculus OX=10090 GN=Hs6st3 PE=1 SV=2
Hsbp1,Heat shock factor-binding protein 1 OS=Mus musculus GN=Hsbp1 PE=1 SV=1
Hscb,Iron-sulfur cluster co-chaperone protein HscB OS=Mus musculus OX=10090 GN=Hscb PE=1 SV=2
Hsd11b1,Corticosteroid 11-beta-dehydrogenase isozyme 1 OS=Mus musculus OX=10090 GN=Hsd11b1 PE=1 SV=3
Hsd17b10,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4
Hsd17b11,Estradiol 17-beta-dehydrogenase 11 OS=Mus musculus GN=Hsd17b11 PE=1 SV=1
Hsd17b12,Estradiol 17-beta-dehydrogenase 12 OS=Mus musculus GN=Hsd17b12 PE=2 SV=1
Hsd17b3,Testosterone 17-beta-dehydrogenase 3 OS=Mus musculus GN=Hsd17b3 PE=1 SV=1
Hsd17b4,Peroxisomal multifunctional enzyme type 2 OS=Mus musculus GN=Hsd17b4 PE=1 SV=3
Hsd17b7,3-keto-steroid reductase OS=Mus musculus GN=Hsd17b7 PE=2 SV=1
Hsd17b8,Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus GN=Hsd17b8 PE=1 SV=2
Hsdl1,Hydroxysteroid dehydrogenase-like protein 1 OS=Mus musculus GN=Hsdl1 PE=2 SV=1
Hsdl2,Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus GN=Hsdl2 PE=1 SV=1
Hsf1,Heat shock factor protein 1 OS=Mus musculus OX=10090 GN=Hsf1 PE=1 SV=2
Hsp90aa1,Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4
Hsp90ab1,Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4;Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3
Hsp90b1,Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2
Hspa12a,Heat shock 70 kDa protein 12A OS=Mus musculus GN=Hspa12a PE=1 SV=1
Hspa12b,Heat shock 70 kDa protein 12B OS=Mus musculus GN=Hspa12b PE=1 SV=1
Hspa13,Heat shock 70 kDa protein 13 OS=Mus musculus GN=Hspa13 PE=2 SV=1
Hspa14,Heat shock 70 kDa protein 14 OS=Mus musculus GN=Hspa14 PE=2 SV=2
Hspa1a,Heat shock 70 kDa protein 1A OS=Mus musculus GN=Hspa1a PE=1 SV=2
Hspa1b,Heat shock 70 kDa protein 1B OS=Mus musculus GN=Hspa1b PE=1 SV=3
Hspa1l,Heat shock 70 kDa protein 1-like OS=Mus musculus GN=Hspa1l PE=1 SV=4
Hspa2,Heat shock-related 70 kDa protein 2 OS=Mus musculus GN=Hspa2 PE=1 SV=2
Hspa4,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1
Hspa4l,Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2
Hspa5,78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3
Hspa8,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1
Hspa9,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3"
Hspb1,Heat shock protein beta-1 OS=Mus musculus GN=Hspb1 PE=1 SV=3
Hspb11,Intraflagellar transport protein 25 homolog OS=Mus musculus OX=10090 GN=Hspb11 PE=1 SV=2
Hspb6,Heat shock protein beta-6 OS=Mus musculus GN=Hspb6 PE=2 SV=1
Hspb8,Heat shock protein beta-8 OS=Mus musculus OX=10090 GN=Hspb8 PE=1 SV=1
Hspbp1,Hsp70-binding protein 1 OS=Mus musculus GN=Hspbp1 PE=1 SV=1
Hspd1,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1"
Hspe1,"10 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspe1 PE=1 SV=2"
Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1
Hsph1,Heat shock protein 105 kDa OS=Mus musculus GN=Hsph1 PE=1 SV=2
Htatip2,Oxidoreductase HTATIP2 OS=Mus musculus OX=10090 GN=Htatip2 PE=1 SV=3
Htatsf1,HIV Tat-specific factor 1 homolog OS=Mus musculus GN=Htatsf1 PE=1 SV=1
Htr1a,5-hydroxytryptamine receptor 1A OS=Mus musculus OX=10090 GN=Htr1a PE=2 SV=2
Htr1b,5-hydroxytryptamine receptor 1B OS=Mus musculus OX=10090 GN=Htr1b PE=2 SV=1
Htr2a,5-hydroxytryptamine receptor 2A OS=Mus musculus OX=10090 GN=Htr2a PE=1 SV=1
Htra1,Serine protease HTRA1 OS=Mus musculus OX=10090 GN=Htra1 PE=1 SV=2
Htra2,"Serine protease HTRA2, mitochondrial OS=Mus musculus GN=Htra2 PE=1 SV=2"
Htra4,Serine protease HTRA4 OS=Mus musculus OX=10090 GN=Htra4 PE=2 SV=1
Htt,Huntingtin OS=Mus musculus GN=Htt PE=1 SV=2
Hunk,Hormonally up-regulated neu tumor-associated kinase OS=Mus musculus OX=10090 GN=Hunk PE=2 SV=1
Huwe1,E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus GN=Huwe1 PE=1 SV=5
Hydin,Hydrocephalus-inducing protein OS=Mus musculus GN=Hydin PE=1 SV=2
Hykk,Hydroxylysine kinase OS=Mus musculus OX=10090 GN=Hykk PE=1 SV=2
Hyls1,Hydrolethalus syndrome protein 1 homolog OS=Mus musculus OX=10090 GN=Hyls1 PE=2 SV=2
Hyou1,Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1
Hypk,Huntingtin-interacting protein K OS=Mus musculus OX=10090 GN=Hypk PE=1 SV=2
Iah1,Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Mus musculus GN=Iah1 PE=2 SV=1
Iap,IgE-binding protein OS=Mus musculus GN=Iap PE=2 SV=1
Iars,"Isoleucine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Iars PE=1 SV=2"
Iars1,"Isoleucine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Iars1 PE=1 SV=2"
Iars2,"Isoleucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Iars2 PE=1 SV=1"
Iba57,"Putative transferase CAF17 homolog, mitochondrial OS=Mus musculus GN=Iba57 PE=1 SV=1"
Ibtk,Inhibitor of Bruton tyrosine kinase OS=Mus musculus OX=10090 GN=Ibtk PE=1 SV=3
Ica,Inhibitor of carbonic anhydrase OS=Mus musculus OX=10090 GN=Ica PE=1 SV=1
Ica1,Islet cell autoantigen 1 OS=Mus musculus GN=Ica1 PE=1 SV=3
Ica1l,Islet cell autoantigen 1-like protein OS=Mus musculus GN=Ica1l PE=1 SV=1
Icam1,Intercellular adhesion molecule 1 OS=Mus musculus OX=10090 GN=Icam1 PE=1 SV=1
Icam5,Intercellular adhesion molecule 5 OS=Mus musculus GN=Icam5 PE=1 SV=2
Ice1,Little elongation complex subunit 1 OS=Mus musculus OX=10090 GN=Ice1 PE=1 SV=1
Ick,Serine/threonine-protein kinase ICK OS=Mus musculus GN=Ick PE=1 SV=2
Icmt,Protein-S-isoprenylcysteine O-methyltransferase OS=Mus musculus OX=10090 GN=Icmt PE=2 SV=2
Icoslg,ICOS ligand OS=Mus musculus OX=10090 GN=Icoslg PE=1 SV=1
Ide,Insulin-degrading enzyme OS=Mus musculus GN=Ide PE=1 SV=1
Idh1,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=1
Idh2,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3"
Idh3a,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1"
Idh3g,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1"
Idi1,Isopentenyl-diphosphate Delta-isomerase 1 OS=Mus musculus GN=Idi1 PE=1 SV=1
Idnk,Probable gluconokinase OS=Mus musculus OX=10090 GN=Idnk PE=1 SV=2
Ids,Iduronate 2-sulfatase OS=Mus musculus GN=Ids PE=2 SV=3
Ier3ip1,Immediate early response 3-interacting protein 1 OS=Mus musculus GN=Ier3ip1 PE=3 SV=1
Iffo1,Intermediate filament family orphan 1 OS=Mus musculus OX=10090 GN=Iffo1 PE=2 SV=1
Iffo2,Intermediate filament family orphan 2 OS=Mus musculus OX=10090 GN=Iffo2 PE=2 SV=2
Ifih1,Interferon-induced helicase C domain-containing protein 1 OS=Mus musculus GN=Ifih1 PE=1 SV=1
Ifit1,Interferon-induced protein with tetratricopeptide repeats 1 OS=Mus musculus OX=10090 GN=Ifit1 PE=1 SV=2
Ifit3,Interferon-induced protein with tetratricopeptide repeats 3 OS=Mus musculus OX=10090 GN=Ifit3 PE=1 SV=1
Ifitm2,Interferon-induced transmembrane protein 2 OS=Mus musculus OX=10090 GN=Ifitm2 PE=1 SV=1
Ifne,Interferon epsilon OS=Mus musculus GN=Ifne PE=1 SV=1
Ifngr1,Interferon gamma receptor 1 OS=Mus musculus OX=10090 GN=Ifngr1 PE=1 SV=3
Ifrd1,Interferon-related developmental regulator 1 OS=Mus musculus OX=10090 GN=Ifrd1 PE=1 SV=2
Ift122,Intraflagellar transport protein 122 homolog OS=Mus musculus OX=10090 GN=Ift122 PE=1 SV=1
Ift140,Intraflagellar transport protein 140 homolog OS=Mus musculus OX=10090 GN=Ift140 PE=1 SV=1
Ift172,Intraflagellar transport protein 172 homolog OS=Mus musculus OX=10090 GN=Ift172 PE=1 SV=1
Ift22,Intraflagellar transport protein 22 homolog OS=Mus musculus GN=Ift22 PE=1 SV=1
Ift27,Intraflagellar transport protein 27 homolog OS=Mus musculus OX=10090 GN=Ift27 PE=1 SV=1
Ift46,Intraflagellar transport protein 46 homolog OS=Mus musculus OX=10090 GN=Ift46 PE=1 SV=1
Ift52,Intraflagellar transport protein 52 homolog OS=Mus musculus OX=10090 GN=Ift52 PE=1 SV=2
Ift57,Intraflagellar transport protein 57 homolog OS=Mus musculus OX=10090 GN=Ift57 PE=1 SV=1
Ift74,Intraflagellar transport protein 74 homolog OS=Mus musculus OX=10090 GN=Ift74 PE=1 SV=2
Ift80,Intraflagellar transport protein 80 homolog OS=Mus musculus OX=10090 GN=Ift80 PE=1 SV=1
Ift81,Intraflagellar transport protein 81 homolog OS=Mus musculus OX=10090 GN=Ift81 PE=1 SV=4
Ift88,Intraflagellar transport protein 88 homolog OS=Mus musculus OX=10090 GN=Ift88 PE=1 SV=2
Igbp1,Immunoglobulin-binding protein 1 OS=Mus musculus GN=Igbp1 PE=1 SV=1
Igbp1b,Immunoglobulin-binding protein 1b OS=Mus musculus GN=Igbp1b PE=1 SV=1
Igdcc4,Immunoglobulin superfamily DCC subclass member 4 OS=Mus musculus OX=10090 GN=Igdcc4 PE=2 SV=1
Igf1r,Insulin-like growth factor 1 receptor OS=Mus musculus OX=10090 GN=Igf1r PE=1 SV=3
Igf2bp1,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Mus musculus GN=Igf2bp1 PE=1 SV=1
Igf2bp3,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Mus musculus OX=10090 GN=Igf2bp3 PE=1 SV=1
Igf2r,Cation-independent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=Igf2r PE=1 SV=1
Igfals,Insulin-like growth factor-binding protein complex acid labile subunit OS=Mus musculus OX=10090 GN=Igfals PE=1 SV=1
Igfbp2,Insulin-like growth factor-binding protein 2 OS=Mus musculus OX=10090 GN=Igfbp2 PE=2 SV=2
Igfbp3,Insulin-like growth factor-binding protein 3 OS=Mus musculus OX=10090 GN=Igfbp3 PE=2 SV=2
Igfbp4,Insulin-like growth factor-binding protein 4 OS=Mus musculus OX=10090 GN=Igfbp4 PE=1 SV=2
Igfbp5,Insulin-like growth factor-binding protein 5 OS=Mus musculus OX=10090 GN=Igfbp5 PE=1 SV=1
Igfbp6,Insulin-like growth factor-binding protein 6 OS=Mus musculus OX=10090 GN=Igfbp6 PE=2 SV=2
Igfbp7,Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=3
Igh-1a,"Ig gamma-2A chain C region, membrane-bound form OS=Mus musculus GN=Igh-1a PE=1 SV=3"
Igh-3,Ig gamma-2B chain C region OS=Mus musculus GN=Igh-3 PE=1 SV=3
Igh-6,Ig mu chain C region secreted form OS=Mus musculus GN=Igh-6 PE=1 SV=2
Ighg1,"Ig gamma-1 chain C region, membrane-bound form OS=Mus musculus GN=Ighg1 PE=1 SV=2"
Ighm,Immunoglobulin heavy constant mu OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2
Ighmbp2,DNA-binding protein SMUBP-2 OS=Mus musculus OX=10090 GN=Ighmbp2 PE=1 SV=1
Igk-V19-17,Ig kappa chain V19-17 OS=Mus musculus GN=Igk-V19-17 PE=1 SV=1
Igkc,Immunoglobulin kappa constant OS=Mus musculus OX=10090 GN=Igkc PE=1 SV=2
Iglon5,IgLON family member 5 OS=Mus musculus GN=Iglon5 PE=2 SV=2
Igsf1,Immunoglobulin superfamily member 1 OS=Mus musculus OX=10090 GN=Igsf1 PE=1 SV=1
Igsf11,Immunoglobulin superfamily member 11 OS=Mus musculus GN=Igsf11 PE=1 SV=1
Igsf21,Immunoglobulin superfamily member 21 OS=Mus musculus GN=Igsf21 PE=2 SV=1
Igsf3,Immunoglobulin superfamily member 3 OS=Mus musculus GN=Igsf3 PE=1 SV=2
Igsf8,Immunoglobulin superfamily member 8 OS=Mus musculus GN=Igsf8 PE=1 SV=2
Igsf9b,Protein turtle homolog B OS=Mus musculus GN=Igsf9b PE=1 SV=1
Iigp1,Interferon-inducible GTPase 1 OS=Mus musculus OX=10090 GN=Iigp1 PE=1 SV=2
Ik,Protein Red OS=Mus musculus OX=10090 GN=Ik PE=1 SV=2
Ikbip,Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Mus musculus OX=10090 GN=Ikbip PE=1 SV=2
Ikbkap,Elongator complex protein 1 OS=Mus musculus GN=Ikbkap PE=1 SV=2
Ikbkb,Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Mus musculus OX=10090 GN=Ikbkb PE=1 SV=1
Ikbkg,NF-kappa-B essential modulator OS=Mus musculus OX=10090 GN=Ikbkg PE=1 SV=2
Il12b,Interleukin-12 subunit beta OS=Mus musculus GN=Il12b PE=1 SV=1
Il16,Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3
Il17ra,Interleukin-17 receptor A OS=Mus musculus OX=10090 GN=Il17ra PE=1 SV=1
Il18,Interleukin-18 OS=Mus musculus OX=10090 GN=Il18 PE=1 SV=2
Il1rap,Interleukin-1 receptor accessory protein OS=Mus musculus OX=10090 GN=Il1rap PE=1 SV=1
Il1rapl1,Interleukin-1 receptor accessory protein-like 1 OS=Mus musculus GN=Il1rapl1 PE=1 SV=1
Il1rapl2,X-linked interleukin-1 receptor accessory protein-like 2 OS=Mus musculus OX=10090 GN=Il1rapl2 PE=2 SV=1
Il33,Interleukin-33 OS=Mus musculus OX=10090 GN=Il33 PE=1 SV=1
Il34,Interleukin-34 OS=Mus musculus OX=10090 GN=Il34 PE=1 SV=1
Il6,Interleukin-6 OS=Mus musculus GN=Il6 PE=1 SV=1
Il6st,Interleukin-6 receptor subunit beta OS=Mus musculus GN=Il6st PE=1 SV=2
Ildr2,Immunoglobulin-like domain-containing receptor 2 OS=Mus musculus GN=Ildr2 PE=1 SV=2
Ilf2,Interleukin enhancer-binding factor 2 OS=Mus musculus GN=Ilf2 PE=1 SV=1
Ilf3,Interleukin enhancer-binding factor 3 OS=Mus musculus GN=Ilf3 PE=1 SV=2
Ilk,Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2
Ilkap,Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus GN=Ilkap PE=2 SV=1
Ilvbl,Acetolactate synthase-like protein OS=Mus musculus GN=Ilvbl PE=1 SV=1
Immp1l,Mitochondrial inner membrane protease subunit 1 OS=Mus musculus OX=10090 GN=Immp1l PE=1 SV=1
Immp2l,Mitochondrial inner membrane protease subunit 2 OS=Mus musculus OX=10090 GN=Immp2l PE=1 SV=1
Immt,MICOS complex subunit Mic60 OS=Mus musculus GN=Immt PE=1 SV=1
Imp4,U3 small nucleolar ribonucleoprotein protein IMP4 OS=Mus musculus OX=10090 GN=Imp4 PE=2 SV=1
Impa1,Inositol monophosphatase 1 OS=Mus musculus GN=Impa1 PE=1 SV=1
Impa2,Inositol monophosphatase 2 OS=Mus musculus OX=10090 GN=Impa2 PE=1 SV=1
Impact,Protein IMPACT OS=Mus musculus GN=Impact PE=1 SV=2
Impad1,Inositol monophosphatase 3 OS=Mus musculus GN=Impad1 PE=1 SV=1
Impdh1,Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus GN=Impdh1 PE=2 SV=1
Impdh2,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus GN=Impdh2 PE=1 SV=2
Impg2,Interphotoreceptor matrix proteoglycan 2 OS=Mus musculus GN=Impg2 PE=1 SV=1
Ina,Alpha-internexin OS=Mus musculus GN=Ina PE=1 SV=2
Incenp,Inner centromere protein OS=Mus musculus OX=10090 GN=Incenp PE=1 SV=2
Inf2,Inverted formin-2 OS=Mus musculus GN=Inf2 PE=1 SV=1
Ing1,Inhibitor of growth protein 1 OS=Mus musculus OX=10090 GN=Ing1 PE=2 SV=1
Ing2,Inhibitor of growth protein 2 OS=Mus musculus OX=10090 GN=Ing2 PE=1 SV=3
Inka2,PAK4-inhibitor INKA2 OS=Mus musculus OX=10090 GN=Inka2 PE=2 SV=1
Inmt,Indolethylamine N-methyltransferase OS=Mus musculus OX=10090 GN=Inmt PE=1 SV=1
Ino80b,INO80 complex subunit B OS=Mus musculus GN=Ino80b PE=1 SV=2
Ino80c,INO80 complex subunit C OS=Mus musculus OX=10090 GN=Ino80c PE=1 SV=1
Inpp1,Inositol polyphosphate 1-phosphatase OS=Mus musculus GN=Inpp1 PE=1 SV=2
Inpp4a,Inositol polyphosphate-4-phosphatase type I A OS=Mus musculus OX=10090 GN=Inpp4a PE=1 SV=1
Inpp4b,"Type II inositol 3,4-bisphosphate 4-phosphatase OS=Mus musculus OX=10090 GN=Inpp4b PE=2 SV=1"
Inpp5b,"Type II inositol 1,4,5-trisphosphate 5-phosphatase OS=Mus musculus OX=10090 GN=Inpp5b PE=1 SV=1"
Inpp5d,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 OS=Mus musculus OX=10090 GN=Inpp5d PE=1 SV=2"
Inpp5e,72 kDa inositol polyphosphate 5-phosphatase OS=Mus musculus OX=10090 GN=Inpp5e PE=1 SV=1
Inpp5f,Phosphatidylinositide phosphatase SAC2 OS=Mus musculus GN=Inpp5f PE=1 SV=1
Inpp5j,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A OS=Mus musculus GN=Inpp5j PE=1 SV=2"
Inpp5k,Inositol polyphosphate 5-phosphatase K OS=Mus musculus OX=10090 GN=Inpp5k PE=1 SV=2
Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1"
Insc,Protein inscuteable homolog OS=Mus musculus OX=10090 GN=Insc PE=1 SV=2
Insr,Insulin receptor OS=Mus musculus OX=10090 GN=Insr PE=1 SV=2
Insrr,Insulin receptor-related protein OS=Mus musculus GN=Insrr PE=2 SV=1
Insyn1,Inhibitory synaptic factor 1 OS=Mus musculus OX=10090 GN=Insyn1 PE=1 SV=1
Insyn2a,Inhibitory synaptic factor 2A OS=Mus musculus OX=10090 GN=Insyn2a PE=1 SV=1
IntS13,Integrator complex subunit 13 OS=Mus musculus OX=10090 GN=IntS13 PE=1 SV=2
Ints1,Integrator complex subunit 1 OS=Mus musculus GN=Ints1 PE=1 SV=2
Ints10,Integrator complex subunit 10 OS=Mus musculus OX=10090 GN=Ints10 PE=1 SV=3
Ints11,Integrator complex subunit 11 OS=Mus musculus OX=10090 GN=Ints11 PE=1 SV=1
Ints12,Integrator complex subunit 12 OS=Mus musculus OX=10090 GN=Ints12 PE=1 SV=1
Ints14,Integrator complex subunit 14 OS=Mus musculus OX=10090 GN=Ints14 PE=1 SV=1
Ints2,Integrator complex subunit 2 OS=Mus musculus OX=10090 GN=Ints2 PE=1 SV=2
Ints3,Integrator complex subunit 3 OS=Mus musculus OX=10090 GN=Ints3 PE=1 SV=2
Ints4,Integrator complex subunit 4 OS=Mus musculus OX=10090 GN=Ints4 PE=1 SV=1
Ints5,Integrator complex subunit 5 OS=Mus musculus OX=10090 GN=Ints5 PE=2 SV=1
Ints6,Integrator complex subunit 6 OS=Mus musculus OX=10090 GN=Ints6 PE=1 SV=1
Ints6l,Integrator complex subunit 6-like OS=Mus musculus OX=10090 GN=Ints6l PE=2 SV=1
Ints7,Integrator complex subunit 7 OS=Mus musculus OX=10090 GN=Ints7 PE=1 SV=1
Ints8,Integrator complex subunit 8 OS=Mus musculus OX=10090 GN=Ints8 PE=1 SV=1
Ints9,Integrator complex subunit 9 OS=Mus musculus GN=Ints9 PE=2 SV=1
Intu,Protein inturned OS=Mus musculus OX=10090 GN=Intu PE=1 SV=1
Ip6k1,Inositol hexakisphosphate kinase 1 OS=Mus musculus OX=10090 GN=Ip6k1 PE=2 SV=1
Ipcef1,Interactor protein for cytohesin exchange factors 1 OS=Mus musculus GN=Ipcef1 PE=1 SV=2
Ipo11,Importin-11 OS=Mus musculus OX=10090 GN=Ipo11 PE=1 SV=1
Ipo13,Importin-13 OS=Mus musculus GN=Ipo13 PE=2 SV=1
Ipo4,Importin-4 OS=Mus musculus GN=Ipo4 PE=1 SV=1
Ipo5,Importin-5 OS=Mus musculus GN=Ipo5 PE=1 SV=3
Ipo7,Importin-7 OS=Mus musculus GN=Ipo7 PE=1 SV=2
Ipo8,Importin-8 OS=Mus musculus OX=10090 GN=Ipo8 PE=1 SV=3
Ipo9,Importin-9 OS=Mus musculus GN=Ipo9 PE=1 SV=3
Iqcb1,IQ calmodulin-binding motif-containing protein 1 OS=Mus musculus OX=10090 GN=Iqcb1 PE=1 SV=2
Iqce,IQ domain-containing protein E OS=Mus musculus OX=10090 GN=Iqce PE=1 SV=1
Iqcj-Schip1,IQCJ-SCHIP1 readthrough transcript protein OS=Mus musculus OX=10090 GN=Iqcj-Schip1 PE=1 SV=2
Iqgap1,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2
Iqgap2,Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus GN=Iqgap2 PE=1 SV=2
Iqsec1,IQ motif and SEC7 domain-containing protein 1 OS=Mus musculus GN=Iqsec1 PE=1 SV=2
Iqsec2,IQ motif and SEC7 domain-containing protein 2 OS=Mus musculus GN=Iqsec2 PE=1 SV=2
Iqsec3,IQ motif and SEC7 domain-containing protein 3 OS=Mus musculus GN=Iqsec3 PE=1 SV=1
Irak1,Interleukin-1 receptor-associated kinase 1 OS=Mus musculus OX=10090 GN=Irak1 PE=1 SV=3
Irak2,Interleukin-1 receptor-associated kinase-like 2 OS=Mus musculus GN=Irak2 PE=2 SV=2
Ireb2,Iron-responsive element-binding protein 2 OS=Mus musculus OX=10090 GN=Ireb2 PE=1 SV=2
Irf2bp1,Interferon regulatory factor 2-binding protein 1 OS=Mus musculus GN=Irf2bp1 PE=1 SV=2
Irf2bp2,Interferon regulatory factor 2-binding protein 2 OS=Mus musculus OX=10090 GN=Irf2bp2 PE=1 SV=1
Irf2bpl,Interferon regulatory factor 2-binding protein-like OS=Mus musculus GN=Irf2bpl PE=1 SV=1
Irf3,Interferon regulatory factor 3 OS=Mus musculus OX=10090 GN=Irf3 PE=1 SV=1
Irgm1,Immunity-related GTPase family M protein 1 OS=Mus musculus OX=10090 GN=Irgm1 PE=1 SV=1
Irgq,Immunity-related GTPase family Q protein OS=Mus musculus GN=Irgq PE=1 SV=1
Irs1,Insulin receptor substrate 1 OS=Mus musculus OX=10090 GN=Irs1 PE=1 SV=1
Irs2,Insulin receptor substrate 2 OS=Mus musculus OX=10090 GN=Irs2 PE=1 SV=2
Irs4,Insulin receptor substrate 4 OS=Mus musculus GN=Irs4 PE=1 SV=2
Isca1,"Iron-sulfur cluster assembly 1 homolog, mitochondrial OS=Mus musculus GN=Isca1 PE=2 SV=1"
Isca2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Mus musculus GN=Isca2 PE=1 SV=2"
Iscu,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial OS=Mus musculus GN=Iscu PE=1 SV=1"
Isg15,Ubiquitin-like protein ISG15 OS=Mus musculus OX=10090 GN=Isg15 PE=1 SV=4
Isg20l2,Interferon-stimulated 20 kDa exonuclease-like 2 OS=Mus musculus OX=10090 GN=Isg20l2 PE=1 SV=2
Islr,Immunoglobulin superfamily containing leucine-rich repeat protein OS=Mus musculus OX=10090 GN=Islr PE=1 SV=1
Islr2,Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Mus musculus GN=Islr2 PE=1 SV=1
Isoc1,Isochorismatase domain-containing protein 1 OS=Mus musculus GN=Isoc1 PE=1 SV=1
Isoc2a,Isochorismatase domain-containing protein 2A OS=Mus musculus GN=Isoc2a PE=1 SV=1
Isoc2b,Isochorismatase domain-containing protein 2B OS=Mus musculus OX=10090 GN=Isoc2b PE=1 SV=1
Ist1,IST1 homolog OS=Mus musculus GN=Ist1 PE=1 SV=1
Isy1,Pre-mRNA-splicing factor ISY1 homolog OS=Mus musculus OX=10090 GN=Isy1 PE=1 SV=2
Isyna1,Inositol-3-phosphate synthase 1 OS=Mus musculus GN=Isyna1 PE=1 SV=1
Itch,E3 ubiquitin-protein ligase Itchy OS=Mus musculus OX=10090 GN=Itch PE=1 SV=2
Itfg1,T-cell immunomodulatory protein OS=Mus musculus GN=Itfg1 PE=1 SV=2
